Date,Slot,Festival,Visitors
2021-11-25,03-06,,4500
2021-11-25,06-09,,18000
2021-11-25,09-12,,22500
2021-11-25,12-15,,13500
2021-11-25,15-18,,9000
2021-11-25,18-21,,13500
2021-11-25,21-24,,4500
2021-11-26,00-03,,4500
2021-11-26,03-06,,4500
2021-11-26,06-09,,18000
2021-11-26,09-12,,22500
2021-11-26,12-15,,13500
2021-11-26,15-18,,9000
2021-11-26,18-21,,13500
2021-11-26,21-24,,4500
2021-11-27,00-03,,5625
2021-11-27,03-06,,5625
2021-11-27,06-09,,22500
2021-11-27,09-12,,28125
2021-11-27,12-15,,16875
2021-11-27,15-18,,11250
2021-11-27,18-21,,16875
2021-11-27,21-24,,5625
2021-11-28,00-03,,5625
2021-11-28,03-06,,5625
2021-11-28,06-09,,22500
2021-11-28,09-12,,28125
2021-11-28,12-15,,16875
2021-11-28,15-18,,11250
2021-11-28,18-21,,16875
2021-11-28,21-24,,5625
2021-11-29,00-03,,4500
2021-11-29,03-06,,4500
2021-11-29,06-09,,18000
2021-11-29,09-12,,22500
2021-11-29,12-15,,13500
2021-11-29,15-18,,9000
2021-11-29,18-21,,13500
2021-11-29,21-24,,4500
2021-11-30,00-03,,4500
2021-11-30,03-06,,4500
2021-11-30,06-09,,18000
2021-11-30,09-12,,22500
2021-11-30,12-15,,13500
2021-11-30,15-18,,9000
2021-11-30,18-21,,13500
2021-11-30,21-24,,4500
2021-12-01,00-03,,4500
2021-12-01,03-06,,4500
2021-12-01,06-09,,18000
2021-12-01,09-12,,22500
2021-12-01,12-15,,13500
2021-12-01,15-18,,9000
2021-12-01,18-21,,13500
2021-12-01,21-24,,4500
2021-12-02,00-03,,4500
2021-12-02,03-06,,4500
2021-12-02,06-09,,18000
2021-12-02,09-12,,22500
2021-12-02,12-15,,13500
2021-12-02,15-18,,9000
2021-12-02,18-21,,13500
2021-12-02,21-24,,4500
2021-12-03,00-03,,4500
2021-12-03,03-06,,4500
2021-12-03,06-09,,18000
2021-12-03,09-12,,22500
2021-12-03,12-15,,13500
2021-12-03,15-18,,9000
2021-12-03,18-21,,13500
2021-12-03,21-24,,4500
2021-12-04,00-03,,5625
2021-12-04,03-06,,5625
2021-12-04,06-09,,22500
2021-12-04,09-12,,28125
2021-12-04,12-15,,16875
2021-12-04,15-18,,11250
2021-12-04,18-21,,16875
2021-12-04,21-24,,5625
2021-12-05,00-03,,5625
2021-12-05,03-06,,5625
2021-12-05,06-09,,22500
2021-12-05,09-12,,28125
2021-12-05,12-15,,16875
2021-12-05,15-18,,11250
2021-12-05,18-21,,16875
2021-12-05,21-24,,5625
2021-12-06,00-03,,4500
2021-12-06,03-06,,4500
2021-12-06,06-09,,18000
2021-12-06,09-12,,22500
2021-12-06,12-15,,13500
2021-12-06,15-18,,9000
2021-12-06,18-21,,13500
2021-12-06,21-24,,4500
2021-12-07,00-03,,4500
2021-12-07,03-06,,4500
2021-12-07,06-09,,18000
2021-12-07,09-12,,22500
2021-12-07,12-15,,13500
2021-12-07,15-18,,9000
2021-12-07,18-21,,13500
2021-12-07,21-24,,4500
2021-12-08,00-03,,4500
2021-12-08,03-06,,4500
2021-12-08,06-09,,18000
2021-12-08,09-12,,22500
2021-12-08,12-15,,13500
2021-12-08,15-18,,9000
2021-12-08,18-21,,13500
2021-12-08,21-24,,4500
2021-12-09,00-03,,4500
2021-12-09,03-06,,4500
2021-12-09,06-09,,18000
2021-12-09,09-12,,22500
2021-12-09,12-15,,13500
2021-12-09,15-18,,9000
2021-12-09,18-21,,13500
2021-12-09,21-24,,4500
2021-12-10,00-03,,4500
2021-12-10,03-06,,4500
2021-12-10,06-09,,18000
2021-12-10,09-12,,22500
2021-12-10,12-15,,13500
2021-12-10,15-18,,9000
2021-12-10,18-21,,13500
2021-12-10,21-24,,4500
2021-12-11,00-03,,5625
2021-12-11,03-06,,5625
2021-12-11,06-09,,22500
2021-12-11,09-12,,28125
2021-12-11,12-15,,16875
2021-12-11,15-18,,11250
2021-12-11,18-21,,16875
2021-12-11,21-24,,5625
2021-12-12,00-03,,5625
2021-12-12,03-06,,5625
2021-12-12,06-09,,22500
2021-12-12,09-12,,28125
2021-12-12,12-15,,16875
2021-12-12,15-18,,11250
2021-12-12,18-21,,16875
2021-12-12,21-24,,5625
2021-12-13,00-03,,4500
2021-12-13,03-06,,4500
2021-12-13,06-09,,18000
2021-12-13,09-12,,22500
2021-12-13,12-15,,13500
2021-12-13,15-18,,9000
2021-12-13,18-21,,13500
2021-12-13,21-24,,4500
2021-12-14,00-03,,4500
2021-12-14,03-06,,4500
2021-12-14,06-09,,18000
2021-12-14,09-12,,22500
2021-12-14,12-15,,13500
2021-12-14,15-18,,9000
2021-12-14,18-21,,13500
2021-12-14,21-24,,4500
2021-12-15,00-03,,4500
2021-12-15,03-06,,4500
2021-12-15,06-09,,18000
2021-12-15,09-12,,22500
2021-12-15,12-15,,13500
2021-12-15,15-18,,9000
2021-12-15,18-21,,13500
2021-12-15,21-24,,4500
2021-12-16,00-03,Dhanarak / Kamuhurta Starts,4500
2021-12-16,03-06,Dhanarak / Kamuhurta Starts,4500
2021-12-16,06-09,Dhanarak / Kamuhurta Starts,18000
2021-12-16,09-12,Dhanarak / Kamuhurta Starts,22500
2021-12-16,12-15,Dhanarak / Kamuhurta Starts,13500
2021-12-16,15-18,Dhanarak / Kamuhurta Starts,9000
2021-12-16,18-21,Dhanarak / Kamuhurta Starts,13500
2021-12-16,21-24,Dhanarak / Kamuhurta Starts,4500
2021-12-17,00-03,,4500
2021-12-17,03-06,,4500
2021-12-17,06-09,,18000
2021-12-17,09-12,,22500
2021-12-17,12-15,,13500
2021-12-17,15-18,,9000
2021-12-17,18-21,,13500
2021-12-17,21-24,,4500
2021-12-18,00-03,Purnima / Shri Dattatrey Jayanti,5625
2021-12-18,03-06,Purnima / Shri Dattatrey Jayanti,5625
2021-12-18,06-09,Purnima / Shri Dattatrey Jayanti,22500
2021-12-18,09-12,Purnima / Shri Dattatrey Jayanti,28125
2021-12-18,12-15,Purnima / Shri Dattatrey Jayanti,16875
2021-12-18,15-18,Purnima / Shri Dattatrey Jayanti,11250
2021-12-18,18-21,Purnima / Shri Dattatrey Jayanti,16875
2021-12-18,21-24,Purnima / Shri Dattatrey Jayanti,5625
2021-12-19,00-03,,5625
2021-12-19,03-06,,5625
2021-12-19,06-09,,22500
2021-12-19,09-12,,28125
2021-12-19,12-15,,16875
2021-12-19,15-18,,11250
2021-12-19,18-21,,16875
2021-12-19,21-24,,5625
2021-12-20,00-03,,4500
2021-12-20,03-06,,4500
2021-12-20,06-09,,18000
2021-12-20,09-12,,22500
2021-12-20,12-15,,13500
2021-12-20,15-18,,9000
2021-12-20,18-21,,13500
2021-12-20,21-24,,4500
2021-12-21,00-03,,4500
2021-12-21,03-06,,4500
2021-12-21,06-09,,18000
2021-12-21,09-12,,22500
2021-12-21,12-15,,13500
2021-12-21,15-18,,9000
2021-12-21,18-21,,13500
2021-12-21,21-24,,4500
2021-12-22,00-03,,4500
2021-12-22,03-06,,4500
2021-12-22,06-09,,18000
2021-12-22,09-12,,22500
2021-12-22,12-15,,13500
2021-12-22,15-18,,9000
2021-12-22,18-21,,13500
2021-12-22,21-24,,4500
2021-12-23,00-03,,4500
2021-12-23,03-06,,4500
2021-12-23,06-09,,18000
2021-12-23,09-12,,22500
2021-12-23,12-15,,13500
2021-12-23,15-18,,9000
2021-12-23,18-21,,13500
2021-12-23,21-24,,4500
2021-12-24,00-03,,4500
2021-12-24,03-06,,4500
2021-12-24,06-09,,18000
2021-12-24,09-12,,22500
2021-12-24,12-15,,13500
2021-12-24,15-18,,9000
2021-12-24,18-21,,13500
2021-12-24,21-24,,4500
2021-12-25,00-03,,5625
2021-12-25,03-06,,5625
2021-12-25,06-09,,22500
2021-12-25,09-12,,28125
2021-12-25,12-15,,16875
2021-12-25,15-18,,11250
2021-12-25,18-21,,16875
2021-12-25,21-24,,5625
2021-12-26,00-03,,5625
2021-12-26,03-06,,5625
2021-12-26,06-09,,22500
2021-12-26,09-12,,28125
2021-12-26,12-15,,16875
2021-12-26,15-18,,11250
2021-12-26,18-21,,16875
2021-12-26,21-24,,5625
2021-12-27,00-03,,4500
2021-12-27,03-06,,4500
2021-12-27,06-09,,18000
2021-12-27,09-12,,22500
2021-12-27,12-15,,13500
2021-12-27,15-18,,9000
2021-12-27,18-21,,13500
2021-12-27,21-24,,4500
2021-12-28,00-03,,4500
2021-12-28,03-06,,4500
2021-12-28,06-09,,18000
2021-12-28,09-12,,22500
2021-12-28,12-15,,13500
2021-12-28,15-18,,9000
2021-12-28,18-21,,13500
2021-12-28,21-24,,4500
2021-12-29,00-03,,4500
2021-12-29,03-06,,4500
2021-12-29,06-09,,18000
2021-12-29,09-12,,22500
2021-12-29,12-15,,13500
2021-12-29,15-18,,9000
2021-12-29,18-21,,13500
2021-12-29,21-24,,4500
2021-12-30,00-03,,4500
2021-12-30,03-06,,4500
2021-12-30,06-09,,18000
2021-12-30,09-12,,22500
2021-12-30,12-15,,13500
2021-12-30,15-18,,9000
2021-12-30,18-21,,13500
2021-12-30,21-24,,4500
2021-12-31,00-03,,4500
2021-12-31,03-06,,4500
2021-12-31,06-09,,18000
2021-12-31,09-12,,22500
2021-12-31,12-15,,13500
2021-12-31,15-18,,9000
2021-12-31,18-21,,13500
2021-12-31,21-24,,4500
2022-01-01,00-03,,8125
2022-01-01,03-06,,8125
2022-01-01,06-09,,32500
2022-01-01,09-12,,40625
2022-01-01,12-15,,24375
2022-01-01,15-18,,16250
2022-01-01,18-21,,24375
2022-01-01,21-24,,8125
2022-01-02,00-03,,8125
2022-01-02,03-06,,8125
2022-01-02,06-09,,32500
2022-01-02,09-12,,40625
2022-01-02,12-15,,24375
2022-01-02,15-18,,16250
2022-01-02,18-21,,24375
2022-01-02,21-24,,8125
2022-01-03,00-03,,6500
2022-01-03,03-06,,6500
2022-01-03,06-09,,26000
2022-01-03,09-12,,32500
2022-01-03,12-15,,19500
2022-01-03,15-18,,13000
2022-01-03,18-21,,19500
2022-01-03,21-24,,6500
2022-01-04,00-03,,6500
2022-01-04,03-06,,6500
2022-01-04,06-09,,26000
2022-01-04,09-12,,32500
2022-01-04,12-15,,19500
2022-01-04,15-18,,13000
2022-01-04,18-21,,19500
2022-01-04,21-24,,6500
2022-01-05,00-03,,6500
2022-01-05,03-06,,6500
2022-01-05,06-09,,26000
2022-01-05,09-12,,32500
2022-01-05,12-15,,19500
2022-01-05,15-18,,13000
2022-01-05,18-21,,19500
2022-01-05,21-24,,6500
2022-01-06,00-03,,6500
2022-01-06,03-06,,6500
2022-01-06,06-09,,26000
2022-01-06,09-12,,32500
2022-01-06,12-15,,19500
2022-01-06,15-18,,13000
2022-01-06,18-21,,19500
2022-01-06,21-24,,6500
2022-01-07,00-03,,6500
2022-01-07,03-06,,6500
2022-01-07,06-09,,26000
2022-01-07,09-12,,32500
2022-01-07,12-15,,19500
2022-01-07,15-18,,13000
2022-01-07,18-21,,19500
2022-01-07,21-24,,6500
2022-01-08,00-03,,8125
2022-01-08,03-06,,8125
2022-01-08,06-09,,32500
2022-01-08,09-12,,40625
2022-01-08,12-15,,24375
2022-01-08,15-18,,16250
2022-01-08,18-21,,24375
2022-01-08,21-24,,8125
2022-01-09,00-03,,8125
2022-01-09,03-06,,8125
2022-01-09,06-09,,32500
2022-01-09,09-12,,40625
2022-01-09,12-15,,24375
2022-01-09,15-18,,16250
2022-01-09,18-21,,24375
2022-01-09,21-24,,8125
2022-01-10,00-03,,6500
2022-01-10,03-06,,6500
2022-01-10,06-09,,26000
2022-01-10,09-12,,32500
2022-01-10,12-15,,19500
2022-01-10,15-18,,13000
2022-01-10,18-21,,19500
2022-01-10,21-24,,6500
2022-01-11,00-03,,6500
2022-01-11,03-06,,6500
2022-01-11,06-09,,26000
2022-01-11,09-12,,32500
2022-01-11,12-15,,19500
2022-01-11,15-18,,13000
2022-01-11,18-21,,19500
2022-01-11,21-24,,6500
2022-01-12,00-03,,6500
2022-01-12,03-06,,6500
2022-01-12,06-09,,26000
2022-01-12,09-12,,32500
2022-01-12,12-15,,19500
2022-01-12,15-18,,13000
2022-01-12,18-21,,19500
2022-01-12,21-24,,6500
2022-01-13,00-03,,6500
2022-01-13,03-06,,6500
2022-01-13,06-09,,26000
2022-01-13,09-12,,32500
2022-01-13,12-15,,19500
2022-01-13,15-18,,13000
2022-01-13,18-21,,19500
2022-01-13,21-24,,6500
2022-01-14,00-03,Uttarayan / Makar Sankranti / Dhanurmas Ends,6500
2022-01-14,03-06,Uttarayan / Makar Sankranti / Dhanurmas Ends,6500
2022-01-14,06-09,Uttarayan / Makar Sankranti / Dhanurmas Ends,26000
2022-01-14,09-12,Uttarayan / Makar Sankranti / Dhanurmas Ends,32500
2022-01-14,12-15,Uttarayan / Makar Sankranti / Dhanurmas Ends,19500
2022-01-14,15-18,Uttarayan / Makar Sankranti / Dhanurmas Ends,13000
2022-01-14,18-21,Uttarayan / Makar Sankranti / Dhanurmas Ends,19500
2022-01-14,21-24,Uttarayan / Makar Sankranti / Dhanurmas Ends,6500
2022-01-15,00-03,,8125
2022-01-15,03-06,,8125
2022-01-15,06-09,,32500
2022-01-15,09-12,,40625
2022-01-15,12-15,,24375
2022-01-15,15-18,,16250
2022-01-15,18-21,,24375
2022-01-15,21-24,,8125
2022-01-16,00-03,,8125
2022-01-16,03-06,,8125
2022-01-16,06-09,,32500
2022-01-16,09-12,,40625
2022-01-16,12-15,,24375
2022-01-16,15-18,,16250
2022-01-16,18-21,,24375
2022-01-16,21-24,,8125
2022-01-17,00-03,,6500
2022-01-17,03-06,,6500
2022-01-17,06-09,,26000
2022-01-17,09-12,,32500
2022-01-17,12-15,,19500
2022-01-17,15-18,,13000
2022-01-17,18-21,,19500
2022-01-17,21-24,,6500
2022-01-18,00-03,,6500
2022-01-18,03-06,,6500
2022-01-18,06-09,,26000
2022-01-18,09-12,,32500
2022-01-18,12-15,,19500
2022-01-18,15-18,,13000
2022-01-18,18-21,,19500
2022-01-18,21-24,,6500
2022-01-19,00-03,,6500
2022-01-19,03-06,,6500
2022-01-19,06-09,,26000
2022-01-19,09-12,,32500
2022-01-19,12-15,,19500
2022-01-19,15-18,,13000
2022-01-19,18-21,,19500
2022-01-19,21-24,,6500
2022-01-20,00-03,,6500
2022-01-20,03-06,,6500
2022-01-20,06-09,,26000
2022-01-20,09-12,,32500
2022-01-20,12-15,,19500
2022-01-20,15-18,,13000
2022-01-20,18-21,,19500
2022-01-20,21-24,,6500
2022-01-21,00-03,,6500
2022-01-21,03-06,,6500
2022-01-21,06-09,,26000
2022-01-21,09-12,,32500
2022-01-21,12-15,,19500
2022-01-21,15-18,,13000
2022-01-21,18-21,,19500
2022-01-21,21-24,,6500
2022-01-22,00-03,,8125
2022-01-22,03-06,,8125
2022-01-22,06-09,,32500
2022-01-22,09-12,,40625
2022-01-22,12-15,,24375
2022-01-22,15-18,,16250
2022-01-22,18-21,,24375
2022-01-22,21-24,,8125
2022-01-23,00-03,,8125
2022-01-23,03-06,,8125
2022-01-23,06-09,,32500
2022-01-23,09-12,,40625
2022-01-23,12-15,,24375
2022-01-23,15-18,,16250
2022-01-23,18-21,,24375
2022-01-23,21-24,,8125
2022-01-24,00-03,,6500
2022-01-24,03-06,,6500
2022-01-24,06-09,,26000
2022-01-24,09-12,,32500
2022-01-24,12-15,,19500
2022-01-24,15-18,,13000
2022-01-24,18-21,,19500
2022-01-24,21-24,,6500
2022-01-25,00-03,,6500
2022-01-25,03-06,,6500
2022-01-25,06-09,,26000
2022-01-25,09-12,,32500
2022-01-25,12-15,,19500
2022-01-25,15-18,,13000
2022-01-25,18-21,,19500
2022-01-25,21-24,,6500
2022-01-26,00-03,,6500
2022-01-26,03-06,,6500
2022-01-26,06-09,,26000
2022-01-26,09-12,,32500
2022-01-26,12-15,,19500
2022-01-26,15-18,,13000
2022-01-26,18-21,,19500
2022-01-26,21-24,,6500
2022-01-27,00-03,,6500
2022-01-27,03-06,,6500
2022-01-27,06-09,,26000
2022-01-27,09-12,,32500
2022-01-27,12-15,,19500
2022-01-27,15-18,,13000
2022-01-27,18-21,,19500
2022-01-27,21-24,,6500
2022-01-28,00-03,,6500
2022-01-28,03-06,,6500
2022-01-28,06-09,,26000
2022-01-28,09-12,,32500
2022-01-28,12-15,,19500
2022-01-28,15-18,,13000
2022-01-28,18-21,,19500
2022-01-28,21-24,,6500
2022-01-29,00-03,,8125
2022-01-29,03-06,,8125
2022-01-29,06-09,,32500
2022-01-29,09-12,,40625
2022-01-29,12-15,,24375
2022-01-29,15-18,,16250
2022-01-29,18-21,,24375
2022-01-29,21-24,,8125
2022-01-30,00-03,,8125
2022-01-30,03-06,,8125
2022-01-30,06-09,,32500
2022-01-30,09-12,,40625
2022-01-30,12-15,,24375
2022-01-30,15-18,,16250
2022-01-30,18-21,,24375
2022-01-30,21-24,,8125
2022-01-31,00-03,,6500
2022-01-31,03-06,,6500
2022-01-31,06-09,,26000
2022-01-31,09-12,,32500
2022-01-31,12-15,,19500
2022-01-31,15-18,,13000
2022-01-31,18-21,,19500
2022-01-31,21-24,,6500
2022-02-01,00-03,,6500
2022-02-01,03-06,,6500
2022-02-01,06-09,,26000
2022-02-01,09-12,,32500
2022-02-01,12-15,,19500
2022-02-01,15-18,,13000
2022-02-01,18-21,,19500
2022-02-01,21-24,,6500
2022-02-02,00-03,,6500
2022-02-02,03-06,,6500
2022-02-02,06-09,,26000
2022-02-02,09-12,,32500
2022-02-02,12-15,,19500
2022-02-02,15-18,,13000
2022-02-02,18-21,,19500
2022-02-02,21-24,,6500
2022-02-03,00-03,,6500
2022-02-03,03-06,,6500
2022-02-03,06-09,,26000
2022-02-03,09-12,,32500
2022-02-03,12-15,,19500
2022-02-03,15-18,,13000
2022-02-03,18-21,,19500
2022-02-03,21-24,,6500
2022-02-04,00-03,,6500
2022-02-04,03-06,,6500
2022-02-04,06-09,,26000
2022-02-04,09-12,,32500
2022-02-04,12-15,,19500
2022-02-04,15-18,,13000
2022-02-04,18-21,,19500
2022-02-04,21-24,,6500
2022-02-05,00-03,Vasant Panchami,8125
2022-02-05,03-06,Vasant Panchami,8125
2022-02-05,06-09,Vasant Panchami,32500
2022-02-05,09-12,Vasant Panchami,40625
2022-02-05,12-15,Vasant Panchami,24375
2022-02-05,15-18,Vasant Panchami,16250
2022-02-05,18-21,Vasant Panchami,24375
2022-02-05,21-24,Vasant Panchami,8125
2022-02-06,00-03,,8125
2022-02-06,03-06,,8125
2022-02-06,06-09,,32500
2022-02-06,09-12,,40625
2022-02-06,12-15,,24375
2022-02-06,15-18,,16250
2022-02-06,18-21,,24375
2022-02-06,21-24,,8125
2022-02-07,00-03,,6500
2022-02-07,03-06,,6500
2022-02-07,06-09,,26000
2022-02-07,09-12,,32500
2022-02-07,12-15,,19500
2022-02-07,15-18,,13000
2022-02-07,18-21,,19500
2022-02-07,21-24,,6500
2022-02-08,00-03,,6500
2022-02-08,03-06,,6500
2022-02-08,06-09,,26000
2022-02-08,09-12,,32500
2022-02-08,12-15,,19500
2022-02-08,15-18,,13000
2022-02-08,18-21,,19500
2022-02-08,21-24,,6500
2022-02-09,00-03,,6500
2022-02-09,03-06,,6500
2022-02-09,06-09,,26000
2022-02-09,09-12,,32500
2022-02-09,12-15,,19500
2022-02-09,15-18,,13000
2022-02-09,18-21,,19500
2022-02-09,21-24,,6500
2022-02-10,00-03,,6500
2022-02-10,03-06,,6500
2022-02-10,06-09,,26000
2022-02-10,09-12,,32500
2022-02-10,12-15,,19500
2022-02-10,15-18,,13000
2022-02-10,18-21,,19500
2022-02-10,21-24,,6500
2022-02-11,00-03,,6500
2022-02-11,03-06,,6500
2022-02-11,06-09,,26000
2022-02-11,09-12,,32500
2022-02-11,12-15,,19500
2022-02-11,15-18,,13000
2022-02-11,18-21,,19500
2022-02-11,21-24,,6500
2022-02-12,00-03,,8125
2022-02-12,03-06,,8125
2022-02-12,06-09,,32500
2022-02-12,09-12,,40625
2022-02-12,12-15,,24375
2022-02-12,15-18,,16250
2022-02-12,18-21,,24375
2022-02-12,21-24,,8125
2022-02-13,00-03,,8125
2022-02-13,03-06,,8125
2022-02-13,06-09,,32500
2022-02-13,09-12,,40625
2022-02-13,12-15,,24375
2022-02-13,15-18,,16250
2022-02-13,18-21,,24375
2022-02-13,21-24,,8125
2022-02-14,00-03,,6500
2022-02-14,03-06,,6500
2022-02-14,06-09,,26000
2022-02-14,09-12,,32500
2022-02-14,12-15,,19500
2022-02-14,15-18,,13000
2022-02-14,18-21,,19500
2022-02-14,21-24,,6500
2022-02-15,00-03,,6500
2022-02-15,03-06,,6500
2022-02-15,06-09,,26000
2022-02-15,09-12,,32500
2022-02-15,12-15,,19500
2022-02-15,15-18,,13000
2022-02-15,18-21,,19500
2022-02-15,21-24,,6500
2022-02-16,00-03,Maghi Purnima,6500
2022-02-16,03-06,Maghi Purnima,6500
2022-02-16,06-09,Maghi Purnima,26000
2022-02-16,09-12,Maghi Purnima,32500
2022-02-16,12-15,Maghi Purnima,19500
2022-02-16,15-18,Maghi Purnima,13000
2022-02-16,18-21,Maghi Purnima,19500
2022-02-16,21-24,Maghi Purnima,6500
2022-02-17,00-03,,6500
2022-02-17,03-06,,6500
2022-02-17,06-09,,26000
2022-02-17,09-12,,32500
2022-02-17,12-15,,19500
2022-02-17,15-18,,13000
2022-02-17,18-21,,19500
2022-02-17,21-24,,6500
2022-02-18,00-03,,6500
2022-02-18,03-06,,6500
2022-02-18,06-09,,26000
2022-02-18,09-12,,32500
2022-02-18,12-15,,19500
2022-02-18,15-18,,13000
2022-02-18,18-21,,19500
2022-02-18,21-24,,6500
2022-02-19,00-03,,8125
2022-02-19,03-06,,8125
2022-02-19,06-09,,32500
2022-02-19,09-12,,40625
2022-02-19,12-15,,24375
2022-02-19,15-18,,16250
2022-02-19,18-21,,24375
2022-02-19,21-24,,8125
2022-02-20,00-03,,8125
2022-02-20,03-06,,8125
2022-02-20,06-09,,32500
2022-02-20,09-12,,40625
2022-02-20,12-15,,24375
2022-02-20,15-18,,16250
2022-02-20,18-21,,24375
2022-02-20,21-24,,8125
2022-02-21,00-03,,6500
2022-02-21,03-06,,6500
2022-02-21,06-09,,26000
2022-02-21,09-12,,32500
2022-02-21,12-15,,19500
2022-02-21,15-18,,13000
2022-02-21,18-21,,19500
2022-02-21,21-24,,6500
2022-02-22,00-03,,6500
2022-02-22,03-06,,6500
2022-02-22,06-09,,26000
2022-02-22,09-12,,32500
2022-02-22,12-15,,19500
2022-02-22,15-18,,13000
2022-02-22,18-21,,19500
2022-02-22,21-24,,6500
2022-02-23,00-03,,6500
2022-02-23,03-06,,6500
2022-02-23,06-09,,26000
2022-02-23,09-12,,32500
2022-02-23,12-15,,19500
2022-02-23,15-18,,13000
2022-02-23,18-21,,19500
2022-02-23,21-24,,6500
2022-02-24,00-03,,6500
2022-02-24,03-06,,6500
2022-02-24,06-09,,26000
2022-02-24,09-12,,32500
2022-02-24,12-15,,19500
2022-02-24,15-18,,13000
2022-02-24,18-21,,19500
2022-02-24,21-24,,6500
2022-02-25,00-03,,6500
2022-02-25,03-06,,6500
2022-02-25,06-09,,26000
2022-02-25,09-12,,32500
2022-02-25,12-15,,19500
2022-02-25,15-18,,13000
2022-02-25,18-21,,19500
2022-02-25,21-24,,6500
2022-02-26,00-03,,8125
2022-02-26,03-06,,8125
2022-02-26,06-09,,32500
2022-02-26,09-12,,40625
2022-02-26,12-15,,24375
2022-02-26,15-18,,16250
2022-02-26,18-21,,24375
2022-02-26,21-24,,8125
2022-02-27,00-03,,8125
2022-02-27,03-06,,8125
2022-02-27,06-09,,32500
2022-02-27,09-12,,40625
2022-02-27,12-15,,24375
2022-02-27,15-18,,16250
2022-02-27,18-21,,24375
2022-02-27,21-24,,8125
2022-02-28,00-03,,6500
2022-02-28,03-06,,6500
2022-02-28,06-09,,26000
2022-02-28,09-12,,32500
2022-02-28,12-15,,19500
2022-02-28,15-18,,13000
2022-02-28,18-21,,19500
2022-02-28,21-24,,6500
2022-03-01,00-03,Mahashivratri,6500
2022-03-01,03-06,Mahashivratri,6500
2022-03-01,06-09,Mahashivratri,26000
2022-03-01,09-12,Mahashivratri,32500
2022-03-01,12-15,Mahashivratri,19500
2022-03-01,15-18,Mahashivratri,13000
2022-03-01,18-21,Mahashivratri,19500
2022-03-01,21-24,Mahashivratri,6500
2022-03-02,00-03,,6500
2022-03-02,03-06,,6500
2022-03-02,06-09,,26000
2022-03-02,09-12,,32500
2022-03-02,12-15,,19500
2022-03-02,15-18,,13000
2022-03-02,18-21,,19500
2022-03-02,21-24,,6500
2022-03-03,00-03,,6500
2022-03-03,03-06,,6500
2022-03-03,06-09,,26000
2022-03-03,09-12,,32500
2022-03-03,12-15,,19500
2022-03-03,15-18,,13000
2022-03-03,18-21,,19500
2022-03-03,21-24,,6500
2022-03-04,00-03,,6500
2022-03-04,03-06,,6500
2022-03-04,06-09,,26000
2022-03-04,09-12,,32500
2022-03-04,12-15,,19500
2022-03-04,15-18,,13000
2022-03-04,18-21,,19500
2022-03-04,21-24,,6500
2022-03-05,00-03,,8125
2022-03-05,03-06,,8125
2022-03-05,06-09,,32500
2022-03-05,09-12,,40625
2022-03-05,12-15,,24375
2022-03-05,15-18,,16250
2022-03-05,18-21,,24375
2022-03-05,21-24,,8125
2022-03-06,00-03,,8125
2022-03-06,03-06,,8125
2022-03-06,06-09,,32500
2022-03-06,09-12,,40625
2022-03-06,12-15,,24375
2022-03-06,15-18,,16250
2022-03-06,18-21,,24375
2022-03-06,21-24,,8125
2022-03-07,00-03,,6500
2022-03-07,03-06,,6500
2022-03-07,06-09,,26000
2022-03-07,09-12,,32500
2022-03-07,12-15,,19500
2022-03-07,15-18,,13000
2022-03-07,18-21,,19500
2022-03-07,21-24,,6500
2022-03-08,00-03,,6500
2022-03-08,03-06,,6500
2022-03-08,06-09,,26000
2022-03-08,09-12,,32500
2022-03-08,12-15,,19500
2022-03-08,15-18,,13000
2022-03-08,18-21,,19500
2022-03-08,21-24,,6500
2022-03-09,00-03,,6500
2022-03-09,03-06,,6500
2022-03-09,06-09,,26000
2022-03-09,09-12,,32500
2022-03-09,12-15,,19500
2022-03-09,15-18,,13000
2022-03-09,18-21,,19500
2022-03-09,21-24,,6500
2022-03-10,00-03,,6500
2022-03-10,03-06,,6500
2022-03-10,06-09,,26000
2022-03-10,09-12,,32500
2022-03-10,12-15,,19500
2022-03-10,15-18,,13000
2022-03-10,18-21,,19500
2022-03-10,21-24,,6500
2022-03-11,00-03,,6500
2022-03-11,03-06,,6500
2022-03-11,06-09,,26000
2022-03-11,09-12,,32500
2022-03-11,12-15,,19500
2022-03-11,15-18,,13000
2022-03-11,18-21,,19500
2022-03-11,21-24,,6500
2022-03-12,00-03,,8125
2022-03-12,03-06,,8125
2022-03-12,06-09,,32500
2022-03-12,09-12,,40625
2022-03-12,12-15,,24375
2022-03-12,15-18,,16250
2022-03-12,18-21,,24375
2022-03-12,21-24,,8125
2022-03-13,00-03,,8125
2022-03-13,03-06,,8125
2022-03-13,06-09,,32500
2022-03-13,09-12,,40625
2022-03-13,12-15,,24375
2022-03-13,15-18,,16250
2022-03-13,18-21,,24375
2022-03-13,21-24,,8125
2022-03-14,00-03,,6500
2022-03-14,03-06,,6500
2022-03-14,06-09,,26000
2022-03-14,09-12,,32500
2022-03-14,12-15,,19500
2022-03-14,15-18,,13000
2022-03-14,18-21,,19500
2022-03-14,21-24,,6500
2022-03-15,00-03,,6500
2022-03-15,03-06,,6500
2022-03-15,06-09,,26000
2022-03-15,09-12,,32500
2022-03-15,12-15,,19500
2022-03-15,15-18,,13000
2022-03-15,18-21,,19500
