Date,Slot,Estimated_Wait_Time_Min,Estimated_Queue_Length,Zone,Zone_Density,Risk_Level,Arrival_Rate_Per_Hour,Temple_Capacity_Utilization_%
2022-01-27,09-12,27,11375,Garbh Griha Zone,Critical,CRITICAL,10833,65.0
2022-01-27,12-15,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-01-27,15-18,14,4550,Parking Area,Critical,CRITICAL,4333,26.0
2022-01-27,18-21,18,6825,Entry Gate,Critical,CRITICAL,6500,39.0
2022-01-27,21-24,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-01-28,00-03,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-01-28,03-06,9,2275,Darshan Queue,Critical,CRITICAL,2167,13.0
2022-01-28,06-09,22,9100,Garbh Griha Zone,Critical,CRITICAL,8667,52.0
2022-01-28,09-12,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-01-28,12-15,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-01-28,15-18,14,4550,Entry Gate,Critical,CRITICAL,4333,26.0
2022-01-28,18-21,18,6825,Security Check,Critical,CRITICAL,6500,39.0
2022-01-28,21-24,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-01-29,00-03,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-01-29,03-06,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-01-29,06-09,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-01-29,09-12,32,14219,Parking Area,Critical,CRITICAL,13542,81.25
2022-01-29,12-15,21,8531,Entry Gate,Critical,CRITICAL,8125,48.75
2022-01-29,15-18,16,5688,Security Check,Critical,CRITICAL,5417,32.5
2022-01-29,18-21,21,8531,Holding Area,Critical,CRITICAL,8125,48.75
2022-01-29,21-24,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-01-30,00-03,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-01-30,03-06,10,2844,Exit Corridor,Critical,CRITICAL,2708,16.25
2022-01-30,06-09,27,11375,Parking Area,Critical,CRITICAL,10833,65.0
2022-01-30,09-12,32,14219,Entry Gate,Critical,CRITICAL,13542,81.25
2022-01-30,12-15,21,8531,Security Check,Critical,CRITICAL,8125,48.75
2022-01-30,15-18,16,5688,Holding Area,Critical,CRITICAL,5417,32.5
2022-01-30,18-21,21,8531,Darshan Queue,Critical,CRITICAL,8125,48.75
2022-01-30,21-24,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-01-31,00-03,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-01-31,03-06,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-01-31,06-09,22,9100,Entry Gate,Critical,CRITICAL,8667,52.0
2022-01-31,09-12,27,11375,Security Check,Critical,CRITICAL,10833,65.0
2022-01-31,12-15,18,6825,Holding Area,Critical,CRITICAL,6500,39.0
2022-01-31,15-18,14,4550,Darshan Queue,Critical,CRITICAL,4333,26.0
2022-01-31,18-21,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-01-31,21-24,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-01,00-03,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-01,03-06,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-01,06-09,22,9100,Security Check,Critical,CRITICAL,8667,52.0
2022-02-01,09-12,27,11375,Holding Area,Critical,CRITICAL,10833,65.0
2022-02-01,12-15,18,6825,Darshan Queue,Critical,CRITICAL,6500,39.0
2022-02-01,15-18,14,4550,Garbh Griha Zone,Critical,CRITICAL,4333,26.0
2022-02-01,18-21,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-01,21-24,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-02,00-03,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-02,03-06,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-02,06-09,22,9100,Holding Area,Critical,CRITICAL,8667,52.0
2022-02-02,09-12,27,11375,Darshan Queue,Critical,CRITICAL,10833,65.0
2022-02-02,12-15,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-02,15-18,14,4550,Exit Corridor,Critical,CRITICAL,4333,26.0
2022-02-02,18-21,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-02,21-24,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-03,00-03,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-03,03-06,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-03,06-09,22,9100,Darshan Queue,Critical,CRITICAL,8667,52.0
2022-02-03,09-12,27,11375,Garbh Griha Zone,Critical,CRITICAL,10833,65.0
2022-02-03,12-15,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-03,15-18,14,4550,Parking Area,Critical,CRITICAL,4333,26.0
2022-02-03,18-21,18,6825,Entry Gate,Critical,CRITICAL,6500,39.0
2022-02-03,21-24,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-04,00-03,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-04,03-06,9,2275,Darshan Queue,Critical,CRITICAL,2167,13.0
2022-02-04,06-09,22,9100,Garbh Griha Zone,Critical,CRITICAL,8667,52.0
2022-02-04,09-12,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-04,12-15,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-04,15-18,14,4550,Entry Gate,Critical,CRITICAL,4333,26.0
2022-02-04,18-21,18,6825,Security Check,Critical,CRITICAL,6500,39.0
2022-02-04,21-24,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-05,00-03,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-05,03-06,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-05,06-09,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-05,09-12,32,14219,Parking Area,Critical,CRITICAL,13542,81.25
2022-02-05,12-15,21,8531,Entry Gate,Critical,CRITICAL,8125,48.75
2022-02-05,15-18,16,5688,Security Check,Critical,CRITICAL,5417,32.5
2022-02-05,18-21,21,8531,Holding Area,Critical,CRITICAL,8125,48.75
2022-02-05,21-24,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-06,00-03,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-06,03-06,10,2844,Exit Corridor,Critical,CRITICAL,2708,16.25
2022-02-06,06-09,27,11375,Parking Area,Critical,CRITICAL,10833,65.0
2022-02-06,09-12,32,14219,Entry Gate,Critical,CRITICAL,13542,81.25
2022-02-06,12-15,21,8531,Security Check,Critical,CRITICAL,8125,48.75
2022-02-06,15-18,16,5688,Holding Area,Critical,CRITICAL,5417,32.5
2022-02-06,18-21,21,8531,Darshan Queue,Critical,CRITICAL,8125,48.75
2022-02-06,21-24,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-07,00-03,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-07,03-06,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-07,06-09,22,9100,Entry Gate,Critical,CRITICAL,8667,52.0
2022-02-07,09-12,27,11375,Security Check,Critical,CRITICAL,10833,65.0
2022-02-07,12-15,18,6825,Holding Area,Critical,CRITICAL,6500,39.0
2022-02-07,15-18,14,4550,Darshan Queue,Critical,CRITICAL,4333,26.0
2022-02-07,18-21,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-07,21-24,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-08,00-03,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-08,03-06,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-08,06-09,22,9100,Security Check,Critical,CRITICAL,8667,52.0
2022-02-08,09-12,27,11375,Holding Area,Critical,CRITICAL,10833,65.0
2022-02-08,12-15,18,6825,Darshan Queue,Critical,CRITICAL,6500,39.0
2022-02-08,15-18,14,4550,Garbh Griha Zone,Critical,CRITICAL,4333,26.0
2022-02-08,18-21,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-08,21-24,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-09,00-03,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-09,03-06,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-09,06-09,22,9100,Holding Area,Critical,CRITICAL,8667,52.0
2022-02-09,09-12,27,11375,Darshan Queue,Critical,CRITICAL,10833,65.0
2022-02-09,12-15,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-09,15-18,14,4550,Exit Corridor,Critical,CRITICAL,4333,26.0
2022-02-09,18-21,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-09,21-24,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-10,00-03,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-10,03-06,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-10,06-09,22,9100,Darshan Queue,Critical,CRITICAL,8667,52.0
2022-02-10,09-12,27,11375,Garbh Griha Zone,Critical,CRITICAL,10833,65.0
2022-02-10,12-15,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-10,15-18,14,4550,Parking Area,Critical,CRITICAL,4333,26.0
2022-02-10,18-21,18,6825,Entry Gate,Critical,CRITICAL,6500,39.0
2022-02-10,21-24,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-11,00-03,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-11,03-06,9,2275,Darshan Queue,Critical,CRITICAL,2167,13.0
2022-02-11,06-09,22,9100,Garbh Griha Zone,Critical,CRITICAL,8667,52.0
2022-02-11,09-12,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-11,12-15,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-11,15-18,14,4550,Entry Gate,Critical,CRITICAL,4333,26.0
2022-02-11,18-21,18,6825,Security Check,Critical,CRITICAL,6500,39.0
2022-02-11,21-24,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-12,00-03,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-12,03-06,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-12,06-09,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-12,09-12,32,14219,Parking Area,Critical,CRITICAL,13542,81.25
2022-02-12,12-15,21,8531,Entry Gate,Critical,CRITICAL,8125,48.75
2022-02-12,15-18,16,5688,Security Check,Critical,CRITICAL,5417,32.5
2022-02-12,18-21,21,8531,Holding Area,Critical,CRITICAL,8125,48.75
2022-02-12,21-24,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-13,00-03,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-13,03-06,10,2844,Exit Corridor,Critical,CRITICAL,2708,16.25
2022-02-13,06-09,27,11375,Parking Area,Critical,CRITICAL,10833,65.0
2022-02-13,09-12,32,14219,Entry Gate,Critical,CRITICAL,13542,81.25
2022-02-13,12-15,21,8531,Security Check,Critical,CRITICAL,8125,48.75
2022-02-13,15-18,16,5688,Holding Area,Critical,CRITICAL,5417,32.5
2022-02-13,18-21,21,8531,Darshan Queue,Critical,CRITICAL,8125,48.75
2022-02-13,21-24,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-14,00-03,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-14,03-06,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-14,06-09,22,9100,Entry Gate,Critical,CRITICAL,8667,52.0
2022-02-14,09-12,27,11375,Security Check,Critical,CRITICAL,10833,65.0
2022-02-14,12-15,18,6825,Holding Area,Critical,CRITICAL,6500,39.0
2022-02-14,15-18,14,4550,Darshan Queue,Critical,CRITICAL,4333,26.0
2022-02-14,18-21,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-14,21-24,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-15,00-03,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-15,03-06,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-15,06-09,22,9100,Security Check,Critical,CRITICAL,8667,52.0
2022-02-15,09-12,27,11375,Holding Area,Critical,CRITICAL,10833,65.0
2022-02-15,12-15,18,6825,Darshan Queue,Critical,CRITICAL,6500,39.0
2022-02-15,15-18,14,4550,Garbh Griha Zone,Critical,CRITICAL,4333,26.0
2022-02-15,18-21,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-15,21-24,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-16,00-03,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-16,03-06,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-16,06-09,22,9100,Holding Area,Critical,CRITICAL,8667,52.0
2022-02-16,09-12,27,11375,Darshan Queue,Critical,CRITICAL,10833,65.0
2022-02-16,12-15,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-16,15-18,14,4550,Exit Corridor,Critical,CRITICAL,4333,26.0
2022-02-16,18-21,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-16,21-24,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-17,00-03,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-17,03-06,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-17,06-09,22,9100,Darshan Queue,Critical,CRITICAL,8667,52.0
2022-02-17,09-12,27,11375,Garbh Griha Zone,Critical,CRITICAL,10833,65.0
2022-02-17,12-15,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-17,15-18,14,4550,Parking Area,Critical,CRITICAL,4333,26.0
2022-02-17,18-21,18,6825,Entry Gate,Critical,CRITICAL,6500,39.0
2022-02-17,21-24,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-18,00-03,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-18,03-06,9,2275,Darshan Queue,Critical,CRITICAL,2167,13.0
2022-02-18,06-09,22,9100,Garbh Griha Zone,Critical,CRITICAL,8667,52.0
2022-02-18,09-12,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-18,12-15,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-18,15-18,14,4550,Entry Gate,Critical,CRITICAL,4333,26.0
2022-02-18,18-21,18,6825,Security Check,Critical,CRITICAL,6500,39.0
2022-02-18,21-24,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-19,00-03,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-19,03-06,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-19,06-09,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-19,09-12,32,14219,Parking Area,Critical,CRITICAL,13542,81.25
2022-02-19,12-15,21,8531,Entry Gate,Critical,CRITICAL,8125,48.75
2022-02-19,15-18,16,5688,Security Check,Critical,CRITICAL,5417,32.5
2022-02-19,18-21,21,8531,Holding Area,Critical,CRITICAL,8125,48.75
2022-02-19,21-24,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-20,00-03,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-20,03-06,10,2844,Exit Corridor,Critical,CRITICAL,2708,16.25
2022-02-20,06-09,27,11375,Parking Area,Critical,CRITICAL,10833,65.0
2022-02-20,09-12,32,14219,Entry Gate,Critical,CRITICAL,13542,81.25
2022-02-20,12-15,21,8531,Security Check,Critical,CRITICAL,8125,48.75
2022-02-20,15-18,16,5688,Holding Area,Critical,CRITICAL,5417,32.5
2022-02-20,18-21,21,8531,Darshan Queue,Critical,CRITICAL,8125,48.75
2022-02-20,21-24,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-21,00-03,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-21,03-06,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-21,06-09,22,9100,Entry Gate,Critical,CRITICAL,8667,52.0
2022-02-21,09-12,27,11375,Security Check,Critical,CRITICAL,10833,65.0
2022-02-21,12-15,18,6825,Holding Area,Critical,CRITICAL,6500,39.0
2022-02-21,15-18,14,4550,Darshan Queue,Critical,CRITICAL,4333,26.0
2022-02-21,18-21,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-21,21-24,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-22,00-03,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-22,03-06,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-22,06-09,22,9100,Security Check,Critical,CRITICAL,8667,52.0
2022-02-22,09-12,27,11375,Holding Area,Critical,CRITICAL,10833,65.0
2022-02-22,12-15,18,6825,Darshan Queue,Critical,CRITICAL,6500,39.0
2022-02-22,15-18,14,4550,Garbh Griha Zone,Critical,CRITICAL,4333,26.0
2022-02-22,18-21,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-22,21-24,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-23,00-03,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-23,03-06,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-23,06-09,22,9100,Holding Area,Critical,CRITICAL,8667,52.0
2022-02-23,09-12,27,11375,Darshan Queue,Critical,CRITICAL,10833,65.0
2022-02-23,12-15,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-23,15-18,14,4550,Exit Corridor,Critical,CRITICAL,4333,26.0
2022-02-23,18-21,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-23,21-24,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-02-24,00-03,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-24,03-06,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-24,06-09,22,9100,Darshan Queue,Critical,CRITICAL,8667,52.0
2022-02-24,09-12,27,11375,Garbh Griha Zone,Critical,CRITICAL,10833,65.0
2022-02-24,12-15,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-02-24,15-18,14,4550,Parking Area,Critical,CRITICAL,4333,26.0
2022-02-24,18-21,18,6825,Entry Gate,Critical,CRITICAL,6500,39.0
2022-02-24,21-24,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-02-25,00-03,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-25,03-06,9,2275,Darshan Queue,Critical,CRITICAL,2167,13.0
2022-02-25,06-09,22,9100,Garbh Griha Zone,Critical,CRITICAL,8667,52.0
2022-02-25,09-12,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-25,12-15,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-02-25,15-18,14,4550,Entry Gate,Critical,CRITICAL,4333,26.0
2022-02-25,18-21,18,6825,Security Check,Critical,CRITICAL,6500,39.0
2022-02-25,21-24,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-02-26,00-03,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-26,03-06,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-26,06-09,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-02-26,09-12,32,14219,Parking Area,Critical,CRITICAL,13542,81.25
2022-02-26,12-15,21,8531,Entry Gate,Critical,CRITICAL,8125,48.75
2022-02-26,15-18,16,5688,Security Check,Critical,CRITICAL,5417,32.5
2022-02-26,18-21,21,8531,Holding Area,Critical,CRITICAL,8125,48.75
2022-02-26,21-24,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-02-27,00-03,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-27,03-06,10,2844,Exit Corridor,Critical,CRITICAL,2708,16.25
2022-02-27,06-09,27,11375,Parking Area,Critical,CRITICAL,10833,65.0
2022-02-27,09-12,32,14219,Entry Gate,Critical,CRITICAL,13542,81.25
2022-02-27,12-15,21,8531,Security Check,Critical,CRITICAL,8125,48.75
2022-02-27,15-18,16,5688,Holding Area,Critical,CRITICAL,5417,32.5
2022-02-27,18-21,21,8531,Darshan Queue,Critical,CRITICAL,8125,48.75
2022-02-27,21-24,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-02-28,00-03,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-02-28,03-06,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-02-28,06-09,22,9100,Entry Gate,Critical,CRITICAL,8667,52.0
2022-02-28,09-12,27,11375,Security Check,Critical,CRITICAL,10833,65.0
2022-02-28,12-15,18,6825,Holding Area,Critical,CRITICAL,6500,39.0
2022-02-28,15-18,14,4550,Darshan Queue,Critical,CRITICAL,4333,26.0
2022-02-28,18-21,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-02-28,21-24,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-03-01,00-03,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-03-01,03-06,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-03-01,06-09,22,9100,Security Check,Critical,CRITICAL,8667,52.0
2022-03-01,09-12,27,11375,Holding Area,Critical,CRITICAL,10833,65.0
2022-03-01,12-15,18,6825,Darshan Queue,Critical,CRITICAL,6500,39.0
2022-03-01,15-18,14,4550,Garbh Griha Zone,Critical,CRITICAL,4333,26.0
2022-03-01,18-21,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-03-01,21-24,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-03-02,00-03,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-03-02,03-06,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-03-02,06-09,22,9100,Holding Area,Critical,CRITICAL,8667,52.0
2022-03-02,09-12,27,11375,Darshan Queue,Critical,CRITICAL,10833,65.0
2022-03-02,12-15,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-03-02,15-18,14,4550,Exit Corridor,Critical,CRITICAL,4333,26.0
2022-03-02,18-21,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-03-02,21-24,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-03-03,00-03,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-03-03,03-06,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-03-03,06-09,22,9100,Darshan Queue,Critical,CRITICAL,8667,52.0
2022-03-03,09-12,27,11375,Garbh Griha Zone,Critical,CRITICAL,10833,65.0
2022-03-03,12-15,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-03-03,15-18,14,4550,Parking Area,Critical,CRITICAL,4333,26.0
2022-03-03,18-21,18,6825,Entry Gate,Critical,CRITICAL,6500,39.0
2022-03-03,21-24,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-03-04,00-03,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-03-04,03-06,9,2275,Darshan Queue,Critical,CRITICAL,2167,13.0
2022-03-04,06-09,22,9100,Garbh Griha Zone,Critical,CRITICAL,8667,52.0
2022-03-04,09-12,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-03-04,12-15,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-03-04,15-18,14,4550,Entry Gate,Critical,CRITICAL,4333,26.0
2022-03-04,18-21,18,6825,Security Check,Critical,CRITICAL,6500,39.0
2022-03-04,21-24,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-03-05,00-03,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-03-05,03-06,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-03-05,06-09,27,11375,Exit Corridor,Critical,CRITICAL,10833,65.0
2022-03-05,09-12,32,14219,Parking Area,Critical,CRITICAL,13542,81.25
2022-03-05,12-15,21,8531,Entry Gate,Critical,CRITICAL,8125,48.75
2022-03-05,15-18,16,5688,Security Check,Critical,CRITICAL,5417,32.5
2022-03-05,18-21,21,8531,Holding Area,Critical,CRITICAL,8125,48.75
2022-03-05,21-24,10,2844,Darshan Queue,Critical,CRITICAL,2708,16.25
2022-03-06,00-03,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-03-06,03-06,10,2844,Exit Corridor,Critical,CRITICAL,2708,16.25
2022-03-06,06-09,27,11375,Parking Area,Critical,CRITICAL,10833,65.0
2022-03-06,09-12,32,14219,Entry Gate,Critical,CRITICAL,13542,81.25
2022-03-06,12-15,21,8531,Security Check,Critical,CRITICAL,8125,48.75
2022-03-06,15-18,16,5688,Holding Area,Critical,CRITICAL,5417,32.5
2022-03-06,18-21,21,8531,Darshan Queue,Critical,CRITICAL,8125,48.75
2022-03-06,21-24,10,2844,Garbh Griha Zone,Critical,CRITICAL,2708,16.25
2022-03-07,00-03,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-03-07,03-06,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-03-07,06-09,22,9100,Entry Gate,Critical,CRITICAL,8667,52.0
2022-03-07,09-12,27,11375,Security Check,Critical,CRITICAL,10833,65.0
2022-03-07,12-15,18,6825,Holding Area,Critical,CRITICAL,6500,39.0
2022-03-07,15-18,14,4550,Darshan Queue,Critical,CRITICAL,4333,26.0
2022-03-07,18-21,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-03-07,21-24,9,2275,Exit Corridor,Critical,CRITICAL,2167,13.0
2022-03-08,00-03,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-03-08,03-06,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-03-08,06-09,22,9100,Security Check,Critical,CRITICAL,8667,52.0
2022-03-08,09-12,27,11375,Holding Area,Critical,CRITICAL,10833,65.0
2022-03-08,12-15,18,6825,Darshan Queue,Critical,CRITICAL,6500,39.0
2022-03-08,15-18,14,4550,Garbh Griha Zone,Critical,CRITICAL,4333,26.0
2022-03-08,18-21,18,6825,Exit Corridor,Critical,CRITICAL,6500,39.0
2022-03-08,21-24,9,2275,Parking Area,Critical,CRITICAL,2167,13.0
2022-03-09,00-03,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-03-09,03-06,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-03-09,06-09,22,9100,Holding Area,Critical,CRITICAL,8667,52.0
2022-03-09,09-12,27,11375,Darshan Queue,Critical,CRITICAL,10833,65.0
2022-03-09,12-15,18,6825,Garbh Griha Zone,Critical,CRITICAL,6500,39.0
2022-03-09,15-18,14,4550,Exit Corridor,Critical,CRITICAL,4333,26.0
2022-03-09,18-21,18,6825,Parking Area,Critical,CRITICAL,6500,39.0
2022-03-09,21-24,9,2275,Entry Gate,Critical,CRITICAL,2167,13.0
2022-03-10,00-03,9,2275,Security Check,Critical,CRITICAL,2167,13.0
2022-03-10,03-06,9,2275,Holding Area,Critical,CRITICAL,2167,13.0
2022-03-10,06-09,22,9100,Darshan Queue,Critical,CRITICAL,8667,52.0
